z,F
0.004,4.4386326
0.00425,4.2685272
0.0045,4.1202981
0.00475,3.9596103
0.005,3.7679229
0.00525,3.5935992
0.0055,3.4179021
0.00575,3.2506416
0.006,3.0869127
0.00625,2.9349558
0.0065,2.7842742
0.00675,2.6461494
0.007,2.5134201
0.00725,2.3858901
0.0075,2.1794877
0.00775,2.084625
0.008,1.9858383
0.00825,1.8926433
0.0085,1.8007236
0.00875,1.7141994
0.009,1.6300296
0.00925,1.5524325
0.0095,1.4774841
0.00975,1.4092065
0.01,1.3403403
0.01025,1.2753
0.0105,1.2157533
0.01075,1.1594439
0.011,1.1053908
0.01125,1.0548693
0.0115,1.007487
0.01175,0.9621648
0.012,0.9192951
0.01225,0.8788779
0.0125,0.8404227
0.01275,0.8043219
0.013,0.7698888
0.01325,0.7371234
0.0135,0.70632
0.01375,0.6770862
0.014,0.649422
0.01425,0.6232293
0.0145,0.59841
0.01475,0.5749641
0.015,0.5524011
0.01525,0.5311134
0.0155,0.5106105
0.01575,0.4905
0.016,0.472842
0.01625,0.4552821
0.0165,0.4382127
0.01675,0.4219281
0.017,0.4066245
0.01725,0.3921057
0.0175,0.377685
0.01775,0.3642453
0.018,0.3518847
0.01825,0.3397203
0.0185,0.3279483
0.01875,0.3167649
0.019,0.3059739
0.01925,0.2956734
0.0195,0.2859615
0.01975,0.2764458
0.02,0.2675187
0.02025,0.2596707
0.02025,0.2590821
0.0205,0.2507436
0.0205,0.2515284
0.02075,0.2439747
0.021,0.236421
0.02125,0.2286711
0.0215,0.221706
0.02175,0.2150352
0.022,0.2085606
0.02225,0.2021841
0.0225,0.1959057
0.02275,0.1898235
0.023,0.1842318
0.02325,0.1790325
0.0235,0.1737351
0.02375,0.1689282
0.024,0.1643175
0.02425,0.1595106
0.0245,0.1550961
0.02475,0.1507797
0.025,0.1468557
0.02525,0.1424412
0.0255,0.1386153
0.02575,0.1350837
0.026,0.1318464
0.02625,0.1282167
0.0265,0.1248813
0.02675,0.1215459
0.027,0.1184067
0.02725,0.1155618
0.0275,0.1126188
0.02775,0.1096758
0.028,0.1067328
0.02825,0.1045746
0.0285,0.1016316
0.02875,0.0989829
0.029,0.0964323
0.02925,0.0946665
0.0295,0.0919197
0.02975,0.0897615
0.03,0.0872109
